,Unnamed: 0.1,Unnamed: 0,Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC,SHOT_MADE_FLAG
0,0,0,2022,1,4,MAD,P010357,"YABUSELE, GUERSCHON",2FGA,Missed Two Pointer,0,-100,163,B,0,0,0,1,09:41,0,0,20221006180125,0
4,4,4,2022,1,15,PAN,P002328,"GRIGONIS, MARIUS",3FGA,Missed Three Pointer,0,363,639,I,0,0,0,2,08:58,2,1,20221006180324,0
5,5,5,2022,1,17,PAN,P011225,"LEE, PARIS",3FGA,Missed Three Pointer,0,-18,1003,H,0,0,0,2,08:41,2,1,20221006180356,0
6,6,6,2022,1,19,MAD,P010357,"YABUSELE, GUERSCHON",2FGM,Two Pointer,2,-6,18,A,1,0,0,2,08:35,2,3,20221006180402,1
8,8,8,2022,1,26,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,533,614,I,0,0,0,2,08:01,3,3,20221006180534,0
9,9,9,2022,1,36,PAN,P002328,"GRIGONIS, MARIUS",2FGM,Two Pointer,2,-332,407,F,0,0,1,3,07:38,5,3,20221006180642,1
10,10,10,2022,1,37,MAD,PTGB,"LLULL, SERGIO",2FGA,Missed Two Pointer,0,-301,376,F,0,0,0,3,07:24,5,3,20221006180656,0
11,11,11,2022,1,39,PAN,P011225,"LEE, PARIS",3FGA,Missed Three Pointer,0,263,740,I,0,0,0,3,07:06,5,3,20221006180714,0
12,12,12,2022,1,42,MAD,P005791,"TAVARES, WALTER",2FGM,Two Pointer,2,-43,106,B,0,0,0,4,06:56,5,5,20221006180725,1
14,14,14,2022,1,47,PAN,P005844,"PAPAGIANNIS, GEORGIOS",2FGA,Missed Two Pointer,0,-301,439,F,0,0,0,4,06:41,5,6,20221006180807,0
15,15,15,2022,1,51,PAN,P002328,"GRIGONIS, MARIUS",2FGA,Missed Two Pointer,0,106,75,C,0,0,0,4,06:11,5,6,20221006180851,0
16,16,16,2022,1,53,PAN,P005844,"PAPAGIANNIS, GEORGIOS",2FGM,Two Pointer,2,0,37,B,0,1,1,4,06:07,7,6,20221006180855,1
17,17,17,2022,1,55,MAD,P010357,"YABUSELE, GUERSCHON",3FGA,Missed Three Pointer,0,-564,520,H,0,0,0,5,05:00,7,6,20221006180903,0
18,18,18,2022,1,57,MAD,P009005,"DECK, GABRIEL",2FGA,Missed Two Pointer,0,-69,138,B,0,0,0,5,05:52,7,6,20221006180910,0
19,19,19,2022,1,61,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,514,621,I,0,0,0,5,05:41,7,6,20221006180921,0
20,20,20,2022,1,63,MAD,P010357,"YABUSELE, GUERSCHON",2FGM,Two Pointer,2,0,138,B,0,1,1,5,05:36,7,8,20221006180926,1
21,21,21,2022,1,64,PAN,P002328,"GRIGONIS, MARIUS",3FGA,Missed Three Pointer,0,-37,715,H,0,0,0,5,05:22,7,8,20221006180940,0
22,22,22,2022,1,66,MAD,P006540,"MUSA, DZANAN",2FGM,Two Pointer,2,-62,69,B,1,0,0,5,05:16,7,10,20221006180946,1
23,23,23,2022,1,68,PAN,P011225,"LEE, PARIS",2FGM,Two Pointer,2,87,81,C,0,0,0,6,04:58,9,10,20221006181003,1
24,24,24,2022,1,82,MAD,P003108,"HEZONJA, MARIO",3FGM,Three Pointer,3,-696,37,H,0,0,0,6,04:22,9,13,20221006181121,1
25,25,25,2022,1,84,PAN,P009006,"WILLIAMS, DERRICK",3FGM,Three Pointer,3,-495,533,H,1,0,0,6,04:12,12,13,20221006181131,1
26,26,26,2022,1,87,MAD,PCVM,"RODRIGUEZ, SERGIO",2FGM,Two Pointer,2,100,100,C,0,0,0,7,03:54,12,15,20221006181149,1
