game_play_number,id,sequenceNumber,type.id,type.text,text,awayScore,homeScore,period.number,period.displayValue,clock.displayValue,scoringPlay,scoreValue,team.id,participants.0.athlete.id,participants.1.athlete.id,participants.2.athlete.id,wallclock,shootingPlay,coordinate.x,coordinate.y,game_id,season,seasonType,homeTeamId,homeTeamName,homeTeamMascot,homeTeamAbbrev,homeTeamNameAlt,awayTeamId,awayTeamName,awayTeamMascot,awayTeamAbbrev,awayTeamNameAlt,gameSpread,homeFavorite,gameSpreadAvailable,homeTeamSpread,qtr,time,clock.minutes,clock.seconds,homeTimeoutCalled,awayTimeoutCalled,half,game_half,lag_qtr,lead_qtr,lag_half,lead_half,start.quarter_seconds_remaining,start.half_seconds_remaining,start.game_seconds_remaining,end.quarter_seconds_remaining,end.half_seconds_remaining,end.game_seconds_remaining,period,team,home_color,away_color
6,40158580811,11,92,Jump Shot,Kentavious Caldwell-Pope misses 23-foot three point jumper,0,0,1,1st Quarter,11:22,False,0,7.0,2581018.0,,,2024-04-13T00:11:51Z,True,49,-1,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,11:22,11.0,22.0,False,False,1,1,1.0,1.0,1.0,1.0,682.0,1402.0,2842.0,679.0,1399.0,2839.0,1,away,0022B4,99bfe5
8,40158580813,13,136,Turnaround Bank Jump Shot,Victor Wembanyama makes 6-foot two point shot,0,2,1,1st Quarter,11:12,True,2,24.0,5104157.0,,,2024-04-13T00:12:01Z,True,20,3,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,11:12,11.0,12.0,False,False,1,1,1.0,1.0,1.0,1.0,672.0,1392.0,2832.0,660.0,1380.0,2820.0,1,home,0022B4,99bfe5
9,40158580814,14,132,Step Back Jump Shot,Michael Porter Jr. misses 19-foot step back jumpshot,0,2,1,1st Quarter,11:00,False,0,7.0,4278104.0,,,2024-04-13T00:12:12Z,True,16,17,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,11:00,11.0,0.0,False,False,1,1,1.0,1.0,1.0,1.0,660.0,1380.0,2820.0,660.0,1380.0,2820.0,1,away,0022B4,99bfe5
11,40158580816,16,146,Running Pullup Jump Shot,Victor Wembanyama misses running pullup jump shot,0,2,1,1st Quarter,10:51,False,0,24.0,5104157.0,,,2024-04-13T00:12:21Z,True,38,25,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,10:51,10.0,51.0,False,False,1,1,1.0,1.0,1.0,1.0,651.0,1371.0,2811.0,648.0,1368.0,2808.0,1,home,0022B4,99bfe5
13,40158580818,18,95,Layup Shot,Nikola Jokic makes layup (Jamal Murray assists),2,2,1,1st Quarter,10:43,True,2,7.0,3112335.0,3936299.0,,2024-04-13T00:12:31Z,True,24,0,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,10:43,10.0,43.0,False,False,1,1,1.0,1.0,1.0,1.0,643.0,1363.0,2803.0,627.0,1347.0,2787.0,1,away,0022B4,99bfe5
14,40158580820,20,130,Floating Jump Shot,Sandro Mamukelashvili misses 7-foot two point shot,2,2,1,1st Quarter,10:27,False,0,24.0,4278580.0,,,2024-04-13T00:12:46Z,True,25,8,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,10:27,10.0,27.0,False,False,1,1,1.0,1.0,1.0,1.0,627.0,1347.0,2787.0,627.0,1347.0,2787.0,1,home,0022B4,99bfe5
16,40158580822,22,130,Floating Jump Shot,Nikola Jokic makes 7-foot two point shot (Jamal Murray assists),4,2,1,1st Quarter,10:17,True,2,7.0,3112335.0,3936299.0,,2024-04-13T00:12:56Z,True,25,8,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,10:17,10.0,17.0,False,False,1,1,1.0,1.0,1.0,1.0,617.0,1337.0,2777.0,601.0,1321.0,2761.0,1,away,0022B4,99bfe5
17,40158580824,24,92,Jump Shot,Julian Champagnie makes 23-foot three point jumper (Victor Wembanyama assists),4,5,1,1st Quarter,10:01,True,3,24.0,4592479.0,5104157.0,,2024-04-13T00:13:11Z,True,48,-1,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,10:01,10.0,1.0,False,False,1,1,1.0,1.0,1.0,1.0,601.0,1321.0,2761.0,590.0,1310.0,2750.0,1,home,0022B4,99bfe5
18,40158580826,26,92,Jump Shot,Jamal Murray misses 27-foot three point jumper,4,5,1,1st Quarter,9:50,False,0,7.0,3936299.0,,,2024-04-13T00:13:22Z,True,37,24,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,9:50,9.0,50.0,False,False,1,1,1.0,1.0,1.0,1.0,590.0,1310.0,2750.0,587.0,1307.0,2747.0,1,away,0022B4,99bfe5
20,40158580828,28,146,Running Pullup Jump Shot,Victor Wembanyama misses running pullup jump shot,4,5,1,1st Quarter,9:43,False,0,24.0,5104157.0,,,2024-04-13T00:13:30Z,True,19,26,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,9:43,9.0,43.0,False,False,1,1,1.0,1.0,1.0,1.0,583.0,1303.0,2743.0,580.0,1300.0,2740.0,1,home,0022B4,99bfe5
23,40158580832,32,116,Running Dunk Shot,Victor Wembanyama makes dunk (Blake Wesley assists),4,7,1,1st Quarter,9:34,True,2,24.0,5104157.0,4683935.0,,2024-04-13T00:13:39Z,True,26,1,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,9:34,9.0,34.0,False,False,1,1,1.0,1.0,1.0,1.0,574.0,1294.0,2734.0,554.0,1274.0,2714.0,1,home,0022B4,99bfe5
24,40158580834,34,141,Cutting Layup Shot,Michael Porter Jr. makes layup (Aaron Gordon assists),6,7,1,1st Quarter,9:14,True,2,7.0,4278104.0,3064290.0,,2024-04-13T00:13:59Z,True,25,0,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,9:14,9.0,14.0,False,False,1,1,1.0,1.0,1.0,1.0,554.0,1274.0,2714.0,547.0,1267.0,2707.0,1,away,0022B4,99bfe5
25,40158580836,36,115,Driving Dunk Shot,Blake Wesley makes driving dunk (Tre Jones assists),6,9,1,1st Quarter,9:07,True,2,24.0,4683935.0,4395626.0,,2024-04-13T00:14:05Z,True,25,1,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,9:07,9.0,7.0,False,False,1,1,1.0,1.0,1.0,1.0,547.0,1267.0,2707.0,526.0,1246.0,2686.0,1,home,0022B4,99bfe5
26,40158580838,38,141,Cutting Layup Shot,Nikola Jokic makes 1-foot layup (Jamal Murray assists),8,9,1,1st Quarter,8:46,True,2,7.0,3112335.0,3936299.0,,2024-04-13T00:14:27Z,True,25,1,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,8:46,8.0,46.0,False,False,1,1,1.0,1.0,1.0,1.0,526.0,1246.0,2686.0,509.0,1229.0,2669.0,1,away,0022B4,99bfe5
32,40158580847,47,92,Jump Shot,Victor Wembanyama misses 26-foot three point jumper,8,10,1,1st Quarter,8:06,False,0,24.0,5104157.0,,,2024-04-13T00:16:09Z,True,5,18,401585808,2024,2,24,San Antonio,Spurs,SA,San Antonio,7,Denver,Nuggets,DEN,Denver,2.5,True,False,2.5,1,8:06,8.0,6.0,False,False,1,1,1.0,1.0,1.0,1.0,486.0,1206.0,2646.0,484.0,1204.0,2644.0,1,home,0022B4,99bfe5
